code,title,description,parent_code,attributes_json
GV.SC,Cybersecurity Supply Chain Risk Management,"Cyber supply chain risk management processes are identified, established, managed, monitored, and improved by organizational stakeholders",GV,
GV.SC-01,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders","A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",GV.SC,
GV.SC-02,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally","Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally",GV.SC,
GV.SC-03,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes","Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes",GV.SC,
GV.SC-04,Suppliers are known and prioritized by criticality,Suppliers are known and prioritized by criticality,GV.SC,
GV.SC-05,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties","Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties",GV.SC,
GV.SC-06,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships,GV.SC,
GV.SC-07,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship","The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship",GV.SC,
GV.SC-08,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities","Relevant suppliers and other third parties are included in incident planning, response, and recovery activities",GV.SC,
GV.SC-09,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle","Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle",GV.SC,
GV.SC-10,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement,GV.SC,
ID,IDENTIFY,The organization's current cybersecurity risks are understood,,
ID.AM,Asset Management,"Assets (e.g., data, hardware, software, systems, facilities, services, people) that enable the organization to achieve business purposes are identified and managed consistent with their relative importance to organizational objectives and the organization's risk strategy",ID,
ID.AM-01,Inventories of hardware managed by the organization are maintained,Inventories of hardware managed by the organization are maintained,ID.AM,
ID.AM-02,"Inventories of software, services, and systems managed by the organization are maintained","Inventories of software, services, and systems managed by the organization are maintained",ID.AM,
ID.AM-03,Representations of the organization's authorized network communication and internal and external network data flows are maintained,Representations of the organization's authorized network communication and internal and external network data flows are maintained,ID.AM,
ID.AM-04,Inventories of services provided by suppliers are maintained,Inventories of services provided by suppliers are maintained,ID.AM,
ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission","Assets are prioritized based on classification, criticality, resources, and impact on the mission",ID.AM,
ID.AM-07,Inventories of data and corresponding metadata for designated data types are maintained,Inventories of data and corresponding metadata for designated data types are maintained,ID.AM,
ID.AM-08,"Systems, hardware, software, services, and data are managed throughout their life cycles","Systems, hardware, software, services, and data are managed throughout their life cycles",ID.AM,
ID.RA,Risk Assessment,"The cybersecurity risk to the organization, assets, and individuals is understood by the organization",ID,
ID.RA-01,"Vulnerabilities in assets are identified, validated, and recorded","Vulnerabilities in assets are identified, validated, and recorded",ID.RA,
ID.RA-02,Cyber threat intelligence is received from information sharing forums and sources,Cyber threat intelligence is received from information sharing forums and sources,ID.RA,
ID.RA-03,Internal and external threats to the organization are identified and recorded,Internal and external threats to the organization are identified and recorded,ID.RA,
ID.RA-04,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded,ID.RA,
ID.RA-05,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization","Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization",ID.RA,
ID.RA-06,"Risk responses are chosen, prioritized, planned, tracked, and communicated","Risk responses are chosen, prioritized, planned, tracked, and communicated",ID.RA,
ID.RA-07,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked","Changes and exceptions are managed, assessed for risk impact, recorded, and tracked",ID.RA,
ID.RA-08,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established","Processes for receiving, analyzing, and responding to vulnerability disclosures are established",ID.RA,
ID.RA-09,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,The authenticity and integrity of hardware and software are assessed prior to acquisition and use,ID.RA,
ID.RA-10,Critical suppliers are assessed prior to acquisition,Critical suppliers are assessed prior to acquisition,ID.RA,
ID.IM,Improvement,"Improvements to organizational cybersecurity risk management processes, procedures and activities are identified across all CSF Functions",ID,
ID.IM-01,Improvements are identified from evaluations,Improvements are identified from evaluations,ID.IM,
ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties","Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",ID.IM,
ID.IM-03,"Improvements are identified from execution of operational processes, procedures, and activities","Improvements are identified from execution of operational processes, procedures, and activities",ID.IM,
ID.IM-04,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved","Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved",ID.IM,
PR,PROTECT,Safeguards to manage the organization's cybersecurity risks are used,,
PR.AA,"Identity Management, Authentication, and Access Control","Access to physical and logical assets is limited to authorized users, services, and hardware and managed commensurate with the assessed risk of unauthorized access",PR,
PR.AA-01,"Identities and credentials for authorized users, services, and hardware are managed by the organization","Identities and credentials for authorized users, services, and hardware are managed by the organization",PR.AA,
PR.AA-02,Identities are proofed and bound to credentials based on the context of interactions,Identities are proofed and bound to credentials based on the context of interactions,PR.AA,
PR.AA-03,"Users, services, and hardware are authenticated","Users, services, and hardware are authenticated",PR.AA,
PR.AA-04,"Identity assertions are protected, conveyed, and verified","Identity assertions are protected, conveyed, and verified",PR.AA,
PR.AA-05,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties","Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",PR.AA,
PR.AA-06,"Physical access to assets is managed, monitored, and enforced commensurate with risk","Physical access to assets is managed, monitored, and enforced commensurate with risk",PR.AA,
PR.AT,Awareness and Training,The organization's personnel are provided with cybersecurity awareness and training so that they can perform their cybersecurity-related tasks,PR,
PR.AT-01,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind,PR.AT,
PR.AT-02,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind,PR.AT,
PR.DS,Data Security,"Data are managed consistent with the organization's risk strategy to protect the confidentiality, integrity, and availability of information",PR,
PR.DS-01,"The confidentiality, integrity, and availability of data-at-rest are protected","The confidentiality, integrity, and availability of data-at-rest are protected",PR.DS,
PR.DS-02,"The confidentiality, integrity, and availability of data-in-transit are protected","The confidentiality, integrity, and availability of data-in-transit are protected",PR.DS,
PR.DS-10,"The confidentiality, integrity, and availability of data-in-use are protected","The confidentiality, integrity, and availability of data-in-use are protected",PR.DS,
PR.DS-11,"Backups of data are created, protected, maintained, and tested","Backups of data are created, protected, maintained, and tested",PR.DS,
PR.PS,Platform Security,"The hardware, software (e.g., firmware, operating systems, applications), and services of physical and virtual platforms are managed consistent with the organization's risk strategy to protect their confidentiality, integrity, and availability",PR,
PR.PS-01,Configuration management practices are established and applied,Configuration management practices are established and applied,PR.PS,
PR.PS-02,"Software is maintained, replaced, and removed commensurate with risk","Software is maintained, replaced, and removed commensurate with risk",PR.PS,
PR.PS-03,"Hardware is maintained, replaced, and removed commensurate with risk","Hardware is maintained, replaced, and removed commensurate with risk",PR.PS,
PR.PS-04,Log records are generated and made available for continuous monitoring,Log records are generated and made available for continuous monitoring,PR.PS,
PR.PS-05,Installation and execution of unauthorized software are prevented,Installation and execution of unauthorized software are prevented,PR.PS,
PR.PS-06,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle","Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle",PR.PS,
PR.IR,Technology Infrastructure Resilience,"Security architectures are managed with the organization's risk strategy to protect asset confidentiality, integrity, and availability, and organizational resilience",PR,
PR.IR-01,Networks and environments are protected from unauthorized logical access and usage,Networks and environments are protected from unauthorized logical access and usage,PR.IR,
PR.IR-02,The organization's technology assets are protected from environmental threats,The organization's technology assets are protected from environmental threats,PR.IR,
PR.IR-03,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations,PR.IR,
PR.IR-04,Adequate resource capacity to ensure availability is maintained,Adequate resource capacity to ensure availability is maintained,PR.IR,
DE,DETECT,Possible cybersecurity attacks and compromises are found and analyzed,,
DE.CM,Continuous Monitoring,"Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events",DE,
DE.CM-01,Networks and network services are monitored to find potentially adverse events,Networks and network services are monitored to find potentially adverse events,DE.CM,
DE.CM-02,The physical environment is monitored to find potentially adverse events,The physical environment is monitored to find potentially adverse events,DE.CM,
DE.CM-03,Personnel activity and technology usage are monitored to find potentially adverse events,Personnel activity and technology usage are monitored to find potentially adverse events,DE.CM,
DE.CM-06,External service provider activities and services are monitored to find potentially adverse events,External service provider activities and services are monitored to find potentially adverse events,DE.CM,
DE.CM-09,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events","Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events",DE.CM,
DE.AE,Adverse Event Analysis,"Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents",DE,
DE.AE-02,Potentially adverse events are analyzed to better understand associated activities,Potentially adverse events are analyzed to better understand associated activities,DE.AE,
DE.AE-03,Information is correlated from multiple sources,Information is correlated from multiple sources,DE.AE,
DE.AE-04,The estimated impact and scope of adverse events are understood,The estimated impact and scope of adverse events are understood,DE.AE,
DE.AE-06,Information on adverse events is provided to authorized staff and tools,Information on adverse events is provided to authorized staff and tools,DE.AE,
DE.AE-07,Cyber threat intelligence and other contextual information are integrated into the analysis,Cyber threat intelligence and other contextual information are integrated into the analysis,DE.AE,
DE.AE-08,Incidents are declared when adverse events meet the defined incident criteria,Incidents are declared when adverse events meet the defined incident criteria,DE.AE,
RS,RESPOND,Actions regarding a detected cybersecurity incident are taken,,
RS.MA,Incident Management,Responses to detected cybersecurity incidents are managed,RS,
RS.MA-01,The incident response plan is executed in coordination with relevant third parties once an incident is declared,The incident response plan is executed in coordination with relevant third parties once an incident is declared,RS.MA,
RS.MA-02,Incident reports are triaged and validated,Incident reports are triaged and validated,RS.MA,
RS.MA-03,Incidents are categorized and prioritized,Incidents are categorized and prioritized,RS.MA,
RS.MA-04,Incidents are escalated or elevated as needed,Incidents are escalated or elevated as needed,RS.MA,
RS.MA-05,The criteria for initiating incident recovery are applied,The criteria for initiating incident recovery are applied,RS.MA,
RS.AN,Incident Analysis,Investigations are conducted to ensure effective response and support forensics and recovery activities,RS,
RS.AN-03,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,Analysis is performed to establish what has taken place during an incident and the root cause of the incident,RS.AN,
RS.AN-06,"Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved","Actions performed during an investigation are recorded, and the records' integrity and provenance are preserved",RS.AN,
RS.AN-07,"Incident data and metadata are collected, and their integrity and provenance are preserved","Incident data and metadata are collected, and their integrity and provenance are preserved",RS.AN,
RS.AN-08,An incident's magnitude is estimated and validated,An incident's magnitude is estimated and validated,RS.AN,
RS.CO,Incident Response Reporting and Communication,"Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",RS,
RS.CO-02,Internal and external stakeholders are notified of incidents,Internal and external stakeholders are notified of incidents,RS.CO,
RS.CO-03,Information is shared with designated internal and external stakeholders,Information is shared with designated internal and external stakeholders,RS.CO,
RS.MI,Incident Mitigation,Activities are performed to prevent expansion of an event and mitigate its effects,RS,
RS.MI-01,Incidents are contained,Incidents are contained,RS.MI,
RS.MI-02,Incidents are eradicated,Incidents are eradicated,RS.MI,
RC,RECOVER,Assets and operations affected by a cybersecurity incident are restored,,
RC.RP,Incident Recovery Plan Execution,Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC,
RC.RP-01,The recovery portion of the incident response plan is executed once initiated from the incident response process,The recovery portion of the incident response plan is executed once initiated from the incident response process,RC.RP,
RC.RP-02,"Recovery actions are selected, scoped, prioritized, and performed","Recovery actions are selected, scoped, prioritized, and performed",RC.RP,
RC.RP-03,The integrity of backups and other restoration assets is verified before using them for restoration,The integrity of backups and other restoration assets is verified before using them for restoration,RC.RP,
RC.RP-04,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms,RC.RP,
RC.RP-05,"The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed","The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed",RC.RP,
RC.RP-06,"The end of incident recovery is declared based on criteria, and incident-related documentation is completed","The end of incident recovery is declared based on criteria, and incident-related documentation is completed",RC.RP,
RC.CO,Incident Recovery Communication,Restoration activities are coordinated with internal and external parties,RC,
RC.CO-03,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders,RC.CO,
RC.CO-04,Public updates on incident recovery are shared using approved methods and messaging,Public updates on incident recovery are shared using approved methods and messaging,RC.CO,
